,mean_fit_time,mean_score_time,mean_test_score,param_C,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,std_fit_time,std_score_time,std_test_score,subgenre_level,class1,class2,repetition
3,0.00783994197845459,0.0011164188385009766,0.7236263736263737,1000,{'C': 1000},2,0.5714285714285714,1.0,0.7142857142857143,0.6428571428571429,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.0001564520610072181,2.8950574216616573e-05,0.1174346920432906,subgenre-theme,novela histórica,other,4
0,0.00782935619354248,0.0011195659637451172,0.756043956043956,1,{'C': 1},1,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.8461538461538461,0.7692307692307693,0.9230769230769231,0.8461538461538461,0.7692307692307693,0.6923076923076923,9.94271823901231e-05,4.026716876791839e-05,0.08812474279930023,subgenre-theme,novela histórica,other,5
1,0.007792949676513672,0.0011048316955566406,0.756043956043956,10,{'C': 10},1,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.8461538461538461,0.7692307692307693,0.9230769230769231,0.8461538461538461,0.7692307692307693,0.6923076923076923,9.842587742149383e-05,2.4643532993974315e-05,0.08812474279930023,subgenre-theme,novela histórica,other,5
2,0.0077980756759643555,0.001114201545715332,0.756043956043956,100,{'C': 100},1,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.8461538461538461,0.7692307692307693,0.9230769230769231,0.8461538461538461,0.7692307692307693,0.6923076923076923,0.00011481939009701387,3.334572569517716e-05,0.08812474279930023,subgenre-theme,novela histórica,other,5
3,0.007859897613525391,0.0011228561401367188,0.756043956043956,1000,{'C': 1000},1,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.8461538461538461,0.7692307692307693,0.9230769230769231,0.8461538461538461,0.7692307692307693,0.6923076923076923,0.00013350583798311754,5.4440646828339283e-05,0.08812474279930023,subgenre-theme,novela histórica,other,5
0,0.007901835441589355,0.0011284589767456056,0.6274725274725274,1,{'C': 1},4,0.7142857142857143,0.5714285714285714,0.6428571428571429,0.5,0.6923076923076923,0.5384615384615384,0.8461538461538461,0.6153846153846154,0.6153846153846154,0.5384615384615384,0.00016407453357957996,4.196850357981202e-05,0.09763536826919199,subgenre-theme,novela histórica,other,6
1,0.008036184310913085,0.0011117219924926757,0.635164835164835,10,{'C': 10},1,0.7142857142857143,0.5714285714285714,0.6428571428571429,0.5,0.6923076923076923,0.5384615384615384,0.8461538461538461,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.00044087196293798067,3.266951405267959e-05,0.09325132537835949,subgenre-theme,novela histórica,other,6
2,0.008030343055725097,0.0011096000671386719,0.635164835164835,100,{'C': 100},1,0.7142857142857143,0.5714285714285714,0.6428571428571429,0.5,0.6923076923076923,0.5384615384615384,0.8461538461538461,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.00043647592198333465,2.8809410397827133e-05,0.09325132537835949,subgenre-theme,novela histórica,other,6
3,0.008061766624450684,0.0011429071426391601,0.635164835164835,1000,{'C': 1000},1,0.7142857142857143,0.5714285714285714,0.6428571428571429,0.5,0.6923076923076923,0.5384615384615384,0.8461538461538461,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.00044093044935713665,7.18953626856701e-05,0.09325132537835949,subgenre-theme,novela histórica,other,6
0,0.007627940177917481,0.001090097427368164,0.7763736263736264,1,{'C': 1},4,0.5714285714285714,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.6153846153846154,0.8461538461538461,0.7692307692307693,0.9230769230769231,0.5384615384615384,1.0,0.0001071655020341782,4.612728558033406e-05,0.14632415921542222,subgenre-theme,novela histórica,other,7
1,0.007678627967834473,0.0010729074478149415,0.7835164835164836,10,{'C': 10},1,0.5714285714285714,0.8571428571428571,0.7857142857142857,0.9285714285714286,0.6153846153846154,0.8461538461538461,0.7692307692307693,0.9230769230769231,0.5384615384615384,1.0,0.0001578563002536046,2.9595698287654716e-05,0.15173591993135896,subgenre-theme,novela histórica,other,7
2,0.00758516788482666,0.0010604381561279297,0.7835164835164836,100,{'C': 100},1,0.5714285714285714,0.8571428571428571,0.7857142857142857,0.9285714285714286,0.6153846153846154,0.8461538461538461,0.7692307692307693,0.9230769230769231,0.5384615384615384,1.0,0.00012681220654859265,2.216492785446046e-05,0.15173591993135896,subgenre-theme,novela histórica,other,7
3,0.007581830024719238,0.0010637283325195313,0.7835164835164836,1000,{'C': 1000},1,0.5714285714285714,0.8571428571428571,0.7857142857142857,0.9285714285714286,0.6153846153846154,0.8461538461538461,0.7692307692307693,0.9230769230769231,0.5384615384615384,1.0,0.00013261111634609664,2.3374069174525957e-05,0.15173591993135896,subgenre-theme,novela histórica,other,7
0,0.008045387268066407,0.0011538982391357422,0.7104395604395604,1,{'C': 1},1,0.7142857142857143,0.6428571428571429,0.5,0.7857142857142857,0.7692307692307693,0.7692307692307693,0.6923076923076923,1.0,0.6153846153846154,0.6153846153846154,7.806057306072673e-05,3.2391215077988285e-05,0.12794177556620043,subgenre-theme,novela histórica,other,8
1,0.008001327514648438,0.001144075393676758,0.7021978021978021,10,{'C': 10},2,0.7142857142857143,0.7142857142857143,0.5,0.7857142857142857,0.6923076923076923,0.7692307692307693,0.6923076923076923,0.9230769230769231,0.6153846153846154,0.6153846153846154,6.995836539814578e-05,3.218124487899459e-05,0.10802818221929239,subgenre-theme,novela histórica,other,8
2,0.00799098014831543,0.0011474609375,0.7021978021978021,100,{'C': 100},2,0.7142857142857143,0.7142857142857143,0.5,0.7857142857142857,0.6923076923076923,0.7692307692307693,0.6923076923076923,0.9230769230769231,0.6153846153846154,0.6153846153846154,7.805514052744797e-05,4.8459865053217336e-05,0.10802818221929239,subgenre-theme,novela histórica,other,8
3,0.008113884925842285,0.0011673688888549805,0.7021978021978021,1000,{'C': 1000},2,0.7142857142857143,0.7142857142857143,0.5,0.7857142857142857,0.6923076923076923,0.7692307692307693,0.6923076923076923,0.9230769230769231,0.6153846153846154,0.6153846153846154,0.00028208445496092537,4.3434349206063044e-05,0.10802818221929239,subgenre-theme,novela histórica,other,8
0,0.007648825645446777,0.001094985008239746,0.7554945054945055,1,{'C': 1},1,0.7142857142857143,0.6428571428571429,0.7857142857142857,0.6428571428571429,0.6923076923076923,0.9230769230769231,0.7692307692307693,0.8461538461538461,0.6153846153846154,0.9230769230769231,0.00014102708857846146,3.74918124222879e-05,0.10778897881336842,subgenre-theme,novela histórica,other,9
1,0.007624673843383789,0.0010935068130493164,0.7554945054945055,10,{'C': 10},1,0.7142857142857143,0.6428571428571429,0.7857142857142857,0.6428571428571429,0.6923076923076923,0.9230769230769231,0.7692307692307693,0.8461538461538461,0.6153846153846154,0.9230769230769231,0.00014185423802766042,2.8513157595849737e-05,0.10778897881336842,subgenre-theme,novela histórica,other,9
2,0.007654881477355957,0.0010942935943603516,0.7554945054945055,100,{'C': 100},1,0.7142857142857143,0.6428571428571429,0.7857142857142857,0.6428571428571429,0.6923076923076923,0.9230769230769231,0.7692307692307693,0.8461538461538461,0.6153846153846154,0.9230769230769231,0.00016355102501898182,3.5804533434517815e-05,0.10778897881336842,subgenre-theme,novela histórica,other,9
