idno,la_mañana,la_tarde,la_noche,anoche,esta_tarde,esta_mañana,esta_noche,siguiente_mañana,siguiente_noche,pasada_noche,el_mediodía,la_madrugada,pasado_mañana,esta_mañana_misma,última_noche,la_mañana_del_viernes,la_medianoche,las_12_de_la_noche,estas_noches,presente_mañana,la_noche_del_jueves,las_4_de_la_tarde,esta_madrugada,las_11_de_la_noche,el_mañana,pasado_noches,las_5_de_la_mañana,próxima_tarde,esta_noche_misma,cerca_de_las_12_de_la_noche,últimas_tardes,la_noche_del_viernes,la_tarde_del_sábado,noche_del_miércoles,próxima_madrugada,esta_madrugada_misma,últimas_noches,próxima_noche,esta_tarde_misma,las_9_de_la_mañana,las_5_de_la_tarde,las_2_de_la_tarde,la_mañana_del_lunes_próximo,la_mañana_del_domingo_siguiente,la_tardes,la_noche_del_lunes_pasado,la_noche_del_lunes,la_noche_del_sábado,siguiente_madrugada,próxima_mañana,la_noche_del_último_miércoles,la_noches,las_9_de_la_noche,estas_tardes,última_tarde,las_11_de_la_mañana,las_8_de_la_mañana,siguiente_tarde,la_noche_del_miércoles,las_6_de_la_tarde,las_2_de_la_mañana,las_3_de_la_tarde,cerca_de_las_2_de_la_mañana,pasado_noche,la_tarde_del_jueves,noche_del_jueves,la_noche_del_domingo,las_10_de_la_noche,la_tarde_del_domingo_anterior,la_noche_del_próximo_lunes,la_tarde_del_viernes,pasada_tarde,las_3_de_la_mañana,última_mañana,la_mañana_del_domingo,la_mañana_del_lunes,las_7_de_la_mañana,la_mañana_del_miércoles,la_mañana_del_jueves,que_viene_mañana,la_mañana_del_sábado,la_tarde_del_domingo,la_mañana_del_martes,anterior_noche,la_mañana_del_lunes_posterior,las_8_de_la_noche
nh0044,6,7,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0045,3,0,11,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0046,6,10,18,0,1,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0047,7,10,16,4,1,2,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0048,9,6,30,0,1,1,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0049,29,18,75,11,11,3,33,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0050,12,10,14,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0051,11,8,41,1,0,3,8,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nh0052,17,15,32,12,14,12,11,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0053,19,20,66,4,2,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
